id,Id,Sentence,predicted_relations_id,predicted_relations
1,0,"<s><e2>రమ్యకృష్ణ</e2> భారతీయ సినీ నటి. చలన చిత్ర దర్శకుడు <e1>కృష్ణవంశీ</e1> ఈమె భర్త. ఈమె తమిళనాట పాత్రికేయుడు, విమర్శకుడు చో రామస్వామి మేనకోడలు. ఇంచుమించు ప్రతీ అగ్రనాయకుడి సరసన ఈమె నటించింది. 1985లో వచ్చిన భలే మిత్రులు చిత్రంతో కథానాయికగా తెలుగు చిత్రరంగంలో ప్రవేశించి[1], 1989లో వచ్చిన సూత్రధారులు చిత్రంద్వారా మంచినటిగా పేరు సంపాదించినప్పటికీ ఈమెకి చాలా కాలం వరకూ సరయిన అవకాశాలు రాలేదు. ఒకానొక దశలో రమ్యకృష్ణ నటిస్తే ఆ సినిమా పరాజయం పొంది తీరుతుందన్న నమ్మకం కూడా చిత్రసీమలో ఉండేది. 1992లో విడుదలయిన అల్లుడుగారు చిత్రం ఈమె అదృష్టాన్ని మలుపు తిప్పింది. అప్పటి నుండి కె. రాఘవేంద్రరావు దర్శకత్వంలో వచ్చిన అనేక సినిమాలలో ఈమె వరుసగా నటించగా, దాదాపు అవన్నీ విజయవంతమై రమ్యకృష్ణ నటిస్తే చాలు ఆ చిత్రం విజయం సాధిస్తుందనే నమ్మకాన్ని నిర్మాతలకు కలిగేలా చేశాయి.</s>",11,spouse
2,1,"<s><e1>భూకైలాస్</e1>-ఎకరం 50 కోట్లు 2007 మే 25న విడుదలైన తెలుగు చలనచిత్రం. <e2>శివనాగేశ్వరరావు</e2> దర్శకత్వం వహించిన ఈ చిత్రంలో అలీ, కృష్ణ భగవాన్, సుహాసిని, బ్రహ్మానందం, జీవా, వేణు మాధవ్ తదితరులు నటించగా, ఎమ్.ఎమ్. కీరవాణి సంగీతం అందించాడు.</s>",15,director
3,2,<s><e2>মাইকেল ফ্রান্সিস আটিয়া</e2> ছিলেন <e1>ফিল্ডস পদক</e1> বিজয়ী একজন প্রথিতযশা ইংরেজ গণিতবিদ</s>,8,winner
4,3,"<s>మూస:Infobox Imams <e1>హసన్ ఇబ్న్ అలీ</e1> (ఆంగ్లం :Hasan ibn ‘Alī ibn Abī Tālib) (అరబ్బీ భాష :الحسن بن علي بن أﺑﻲ طالب) ‎ (15 రంజాన్ హి.శ. 3 – 7 [1] లేదా 28 సఫర్ నెల హి.శ.50[2] ముహమ్మద్ ప్రవక్త మనుమడు, అలీ ఇబ్న్ అబీ తాలిబ్, <e2>ఫాతిమా జహ్రా</e2> ల జ్యేష్ట కుమారుడు. అహ్లె బైత్, షియా ముస్లింల ఇమామ్.</s>",5,mother
5,4,"<s>6. <e2>అమెజాన్ నది</e2> <e1>అట్లాంటిక్ మహాసముద్రం</e1>తో కలుస్తుంది, ఇక్కడ అట్లాంటిక్ మహాసముద్రం యొక్క రంగు మరియు లవణీయత డెల్టా నుండి దాదాపు 200 మైళ్ళు (320 కిలోమీటర్లు) మార్పు చెందుతుంది.</s>",16,tributary
6,5,<s><e1>हम परदेसी हो गए</e1> <e2>हिन्दी</e2> भाषा में बनी भारतीय नाट्य धारावाहिक है</s>,18,original_language_of_film_or_TV_show
7,6,"<s><e1>जिस्म २</e1> एक बॉलीवुड फिल्म है, जिसका निर्देशन <e2>पूजा भट्ट</e2> ने किया</s>",15,director
8,7,"<s><e1>নেটস্কেপ</e1>ের শেয়ার ১৯৯৫ সাল থেকে লেনদেন শুরু হয়েছিল, ১৯৯৯ সালে কোম্পানিটিকে পলিং-অফ-ইন্টারেস্ট লেনদেনে ইউএস $১০ বিলিয়ন ডলারে <e2>এওএল</e2> অধিগ্রহণ করেছিল</s>",4,parent_organization
9,8,"<s>মালি জাতীয় ফুটবল দল (ফরাসি: Équipe nationale de football du Mali, ইংরেজি: Mali national football team) হচ্ছে আন্তর্জাতিক ফুটবলে মালির প্রতিনিধিত্বকারী পুরুষদের জাতীয় দল, যার সকল কার্যক্রম মালির ফুটবলের সর্বোচ্চ নিয়ন্ত্রক সংস্থা <e1>মালীয় ফুটবল ফেডারেশন</e1> দ্বারা নিয়ন্ত্রিত হয় , এটি ১৯৬৪ সাল হতে ফুটবলের সর্বোচ্চ সংস্থা ফিফার এবং ১৯৬৩ সাল হতে তাদের আঞ্চলিক সংস্থা <e2>আফ্রিকান ফুটবল কনফেডারেশন</e2>ের সদস্য হিসেবে রয়েছে</s>",4,parent_organization
10,9,<s>এরপর <e2>আনশার</e2> নিজ পুত্র <e1>আনু</e1>কে অনুরোধ করলে সে টিয়ামেটের কাছে গেলো</s>,6,father
11,10,<s>సినిమా నిర్మాణ రంగంలో దగ్గుబాటి వారిది అందిన చేయి. ఎన్నో ఏళ్ల క్రిందటే నిర్మాణ సంస్థలు ప్రారంభించి ఎన్నో బ్లాక్ బస్టర్ సినిమాలను రూపొందించిన ఘనత దగ్గుబాటి వారిది. ఇక దేశంలోని నిర్మాణ సంస్థల్లోకెల్లా దివంగత <e2>దగ్గుబాటి రామానాయుడు</e2> స్థాపించిన <e1>సురేష్ ప్రొడక్షన్స్</e1>‌ ఎంతో ప్రత్యేకమైంది. ఈ బ్యానర్‌కి సుదీర్ఘమైన చరిత్ర ఉంది. తన కొడుకు సురేష్ బాబు పేరు మీదుగా ఈ నిర్మాణ సంస్థ ప్రారంభించిన రామానాయుడు.. ఎన్నో సూపర్ డూపర్ హిట్ సినిమాలను తెలుగు సినీ పరిశ్రమకు అందించారు.</s>,12,founded_by
12,11,<s>2010 में भारतीय जनता पार्टी ने राजस्थान से <e1>राम जेठमलानी</e1> <e2>राज्यसभा सांसद</e2> बनाया. इसके बाद 2013 में पार्टी के खिलाफ बोलने के कारण उन्हें 6 सालों के लिए निष्कासित कर दिया गया था.</s>,23,position_held
13,12,"<s>রেডিফ-এর রাজা সেন ছবিটিকে ৪/৫ প্রদান করে বলেন, ""<e1>রকস্টার</e1>ের কাহিনী সাধারণ, কখনো কখনো অনুমেয়, তবে পরিচালক <e2>ইমতিয়াজ আলী</e2> নিপুণভাবে তা বর্ণনা করেছেন "", ডেইলি নিউজ অ্যান্ড অ্যানালাইসিসের অনিরুদ্ধ গুহ ছবিটিকে ৪/৫ প্রদান করে বলেন, ""এর ধাপে ধাপে চরম অবস্থার দিকে অগ্রগতি আপনার চাওয়ার আগ্রহ বৃদ্ধি করে</s>",15,director
14,13,<s>अंत में सम्राट <e2>अशोक</e2> महान ने <e1>कलिंग की लड़ाई</e1> जीती</s>,19,participant
